iter	Passed	Remaining
0	138	138137
1	138	69287
2	139	46325
3	139	34839
4	140	27975
5	141	23384
6	141	20101
7	142	17634
8	142	15717
9	143	14183
10	143	12926
11	144	11877
12	144	10991
13	145	10231
14	145	9573
15	146	8996
16	146	8488
17	147	8037
18	147	7632
19	148	7268
20	148	6938
21	149	6638
22	149	6365
23	150	6113
24	150	5881
25	151	5667
26	151	5470
27	152	5288
28	152	5117
29	153	4957
30	153	4807
31	154	4667
32	154	4535
33	155	4411
34	155	4294
35	156	4183
36	156	4079
37	157	3982
38	157	3888
39	158	3798
40	158	3713
41	159	3632
42	159	3555
43	160	3481
44	160	3411
45	161	3343
46	161	3278
47	162	3217
48	163	3167
49	163	3111
50	164	3056
51	164	3003
52	165	2952
53	165	2903
54	166	2855
55	166	2809
56	167	2766
57	167	2725
58	168	2684
59	168	2644
60	169	2607
61	169	2569
62	170	2533
63	170	2497
64	171	2463
65	171	2430
66	172	2398
67	172	2367
68	173	2339
69	173	2310
70	174	2282
71	174	2254
72	175	2228
73	175	2201
74	176	2176
75	176	2151
76	177	2127
77	178	2104
78	178	2083
79	179	2061
80	179	2039
81	180	2017
82	180	1994
83	181	1974
84	181	1954
85	182	1934
86	182	1915
87	183	1896
88	183	1878
89	184	1860
90	184	1843
91	185	1825
92	185	1808
93	185	1792
94	186	1776
95	186	1760
96	187	1745
97	187	1730
98	188	1715
99	188	1700
100	189	1686
101	190	1673
102	190	1659
103	191	1645
104	191	1632
105	192	1619
106	192	1606
107	193	1594
108	193	1581
109	193	1569
110	194	1557
111	195	1546
112	195	1534
113	196	1523
114	196	1512
115	197	1501
116	197	1489
117	197	1479
118	198	1468
119	198	1458
120	199	1448
121	199	1437
122	200	1427
123	200	1418
124	201	1408
125	201	1399
126	202	1389
127	202	1380
128	203	1371
129	203	1362
130	204	1353
131	204	1345
132	205	1336
133	205	1328
134	206	1320
135	206	1312
136	207	1304
137	207	1296
138	207	1288
139	208	1280
140	208	1272
141	209	1264
142	209	1256
143	210	1249
144	210	1242
145	211	1235
146	211	1228
147	212	1221
148	212	1214
149	213	1207
150	213	1201
151	214	1194
152	214	1187
153	215	1181
154	215	1174
155	215	1168
156	216	1162
157	216	1156
158	217	1150
159	217	1144
160	218	1137
161	218	1131
162	219	1125
163	219	1120
164	220	1114
165	220	1108
166	221	1102
167	221	1097
168	222	1092
169	222	1086
170	223	1081
171	223	1076
172	224	1071
173	224	1066
174	225	1060
175	225	1055
176	225	1050
177	226	1045
178	226	1040
179	227	1036
180	227	1031
181	228	1026
182	228	1021
183	229	1017
184	229	1012
185	230	1007
186	230	1003
187	231	998
188	231	994
189	232	989
190	232	985
191	233	981
192	233	977
193	234	972
194	234	968
195	235	964
196	235	960
197	236	956
198	236	952
199	237	948
200	237	944
201	237	940
202	238	936
203	238	932
204	239	928
205	239	924
206	240	920
207	240	917
208	241	913
209	241	909
210	242	905
211	242	902
212	243	898
213	243	895
214	244	891
215	244	888
216	245	884
217	245	881
218	246	877
219	246	874
220	247	870
221	247	867
222	247	864
223	248	860
224	248	857
225	249	854
226	249	851
227	250	847
228	250	844
229	251	841
230	251	838
231	252	835
232	252	832
233	253	829
234	253	825
235	254	822
236	254	819
237	255	816
238	255	814
239	256	811
240	256	808
241	257	805
242	257	802
243	258	799
244	258	796
245	259	793
246	259	791
247	259	788
248	260	785
249	260	782
250	261	780
251	261	777
252	262	774
253	262	772
254	263	769
255	263	767
256	264	764
257	264	762
258	265	759
259	265	756
260	266	754
261	267	752
262	267	749
263	268	747
264	268	744
265	269	742
266	269	739
267	269	737
268	270	734
269	270	732
270	271	730
271	271	727
272	272	725
273	272	723
274	273	720
275	273	718
276	274	716
277	274	713
278	275	711
279	275	709
280	276	706
281	276	704
282	277	702
283	277	700
284	278	698
285	278	695
286	279	693
287	279	691
288	280	689
289	280	687
290	281	685
291	281	682
292	282	680
293	282	678
294	283	676
295	283	674
296	284	672
297	284	670
298	285	668
299	285	666
300	286	664
301	286	662
302	287	660
303	287	658
304	287	656
305	288	654
306	288	652
307	289	650
308	289	648
309	290	646
310	290	644
311	291	642
312	291	640
313	292	638
314	292	636
315	293	635
316	293	633
317	294	631
318	294	629
319	295	627
320	295	625
321	296	623
322	296	622
323	297	620
324	297	618
325	298	616
326	298	614
327	299	613
328	299	611
329	300	609
330	300	607
331	301	605
332	301	604
333	302	602
334	302	600
335	303	598
336	303	597
337	303	595
338	304	593
339	304	592
340	305	590
341	305	588
342	306	586
343	306	585
344	307	583
345	307	581
346	308	580
347	308	578
348	309	576
349	309	575
350	310	573
351	310	571
352	311	570
353	311	568
354	312	567
355	312	565
356	313	563
357	313	562
358	314	560
359	314	559
360	315	557
361	315	556
362	316	554
363	316	553
364	316	551
365	317	549
366	317	548
367	318	546
368	318	545
369	319	543
370	319	542
371	320	540
372	320	539
373	321	538
374	321	536
375	322	535
376	322	533
377	323	532
378	323	530
379	324	529
380	324	527
381	325	526
382	325	524
383	326	523
384	326	521
385	327	520
386	327	518
387	328	517
388	328	516
389	329	514
390	329	513
391	329	511
392	330	510
393	330	508
394	331	507
395	331	506
396	332	504
397	332	503
398	333	502
399	333	500
400	334	499
401	334	497
402	335	496
403	335	495
404	336	493
405	336	492
406	337	491
407	337	490
408	338	488
409	338	487
410	339	486
411	339	484
412	340	483
413	340	482
414	341	480
415	341	479
416	342	478
417	342	476
418	342	475
419	343	474
420	343	473
421	344	471
422	344	470
423	345	469
424	345	467
425	346	466
426	346	465
427	347	464
428	347	463
429	348	461
430	348	460
431	349	459
432	349	458
433	350	456
434	350	455
435	351	454
436	351	453
437	352	451
438	352	450
439	353	449
440	353	448
441	354	447
442	354	445
443	355	444
444	355	443
445	356	442
446	356	441
447	357	439
448	357	438
449	358	437
450	358	436
451	359	435
452	359	434
453	360	433
454	360	432
455	361	431
456	362	430
457	362	429
458	363	427
459	363	426
460	364	425
461	364	424
462	365	423
463	365	422
464	366	421
465	367	420
466	367	419
467	368	418
468	369	417
469	369	416
470	370	415
471	371	415
472	372	414
473	372	413
474	373	412
475	373	411
476	374	410
477	375	409
478	375	408
479	376	407
480	377	406
481	377	405
482	378	405
483	379	404
484	379	403
485	380	402
486	380	401
487	381	400
488	381	399
489	382	398
490	383	397
491	383	396
492	384	395
493	384	393
494	385	392
495	385	391
496	386	390
497	386	389
498	387	388
499	387	387
500	388	386
501	388	385
502	389	384
503	389	383
504	390	382
505	390	381
506	391	380
507	392	379
508	392	379
509	393	377
510	393	376
511	394	375
512	394	374
513	395	373
514	395	372
515	396	371
516	397	370
517	397	369
518	398	368
519	398	367
520	398	366
521	399	365
522	399	364
523	400	363
524	400	362
525	401	361
526	401	360
527	402	359
528	403	358
529	403	357
530	404	357
531	404	356
532	405	355
533	405	354
534	406	353
535	406	352
536	407	351
537	407	350
538	408	349
539	408	348
540	409	347
541	409	346
542	410	345
543	410	344
544	411	343
545	411	342
546	412	341
547	412	340
548	413	339
549	413	338
550	414	337
551	414	336
552	415	335
553	415	334
554	416	333
555	416	332
556	417	331
557	417	330
558	418	329
559	418	329
560	419	328
561	419	327
562	420	326
563	420	325
564	421	324
565	421	323
566	422	322
567	422	321
568	423	320
569	423	319
570	424	318
571	424	317
572	425	316
573	425	315
574	426	314
575	426	314
576	427	313
577	427	312
578	428	311
579	428	310
580	429	309
581	429	308
582	430	307
583	430	306
584	430	305
585	431	304
586	431	303
587	432	303
588	432	302
589	433	301
590	433	300
591	434	299
592	434	298
593	435	297
594	435	296
595	436	295
596	436	294
597	437	293
598	437	293
599	438	292
600	438	291
601	439	290
602	439	289
603	440	288
604	440	287
605	441	286
606	441	285
607	442	285
608	442	284
609	443	283
610	443	282
611	444	281
612	444	280
613	445	279
614	445	278
615	446	278
616	446	277
617	447	276
618	447	275
619	448	274
620	448	273
621	449	272
622	449	272
623	450	271
624	450	270
625	451	269
626	451	268
627	452	267
628	452	266
629	453	266
630	453	265
631	454	264
632	454	263
633	455	262
634	455	261
635	456	260
636	456	260
637	456	259
638	457	258
639	457	257
640	458	256
641	458	255
642	459	255
643	459	254
644	460	253
645	460	252
646	461	251
647	461	250
648	462	250
649	462	249
650	463	248
651	464	247
652	464	246
653	464	245
654	465	245
655	465	244
656	466	243
657	466	242
658	467	241
659	467	240
660	468	240
661	468	239
662	469	238
663	469	237
664	470	236
665	470	236
666	471	235
667	471	234
668	472	233
669	472	232
670	473	232
671	473	231
672	474	230
673	474	229
674	475	228
675	475	228
676	476	227
677	476	226
678	477	225
679	477	224
680	478	224
681	478	223
682	479	222
683	479	221
684	480	220
685	480	220
686	481	219
687	481	218
688	482	217
689	482	216
690	483	216
691	483	215
692	484	214
693	484	213
694	485	212
695	485	212
696	486	211
697	486	210
698	487	209
699	487	209
700	488	208
701	488	207
702	489	206
703	489	205
704	490	205
705	490	204
706	491	203
707	491	202
708	492	202
709	492	201
710	493	200
711	493	199
712	494	198
713	494	198
714	495	197
715	495	196
716	496	195
717	496	195
718	496	194
719	497	193
720	497	192
721	498	191
722	498	191
723	499	190
724	499	189
725	500	188
726	501	188
727	501	187
728	502	186
729	502	186
730	503	185
731	504	184
732	504	183
733	505	183
734	505	182
735	506	181
736	507	180
737	507	180
738	508	179
739	508	178
740	509	178
741	509	177
742	510	176
743	511	175
744	511	175
745	512	174
746	512	173
747	513	172
748	513	172
749	514	171
750	514	170
751	515	169
752	515	169
753	516	168
754	517	167
755	518	167
756	518	166
757	519	165
758	520	165
759	520	164
760	521	163
761	521	163
762	522	162
763	523	161
764	523	160
765	524	160
766	525	159
767	525	158
768	526	158
769	526	157
770	527	156
771	527	155
772	528	155
773	528	154
774	529	153
775	529	152
776	530	152
777	530	151
778	531	150
779	532	150
780	532	149
781	533	148
782	533	147
783	534	147
784	534	146
785	535	145
786	535	145
787	536	144
788	536	143
789	537	142
790	537	142
791	538	141
792	539	140
793	539	140
794	540	139
795	541	138
796	541	137
797	542	137
798	542	136
799	543	135
800	543	135
801	544	134
802	545	133
803	546	133
804	546	132
805	547	131
806	547	130
807	548	130
808	548	129
809	549	128
810	549	128
811	550	127
812	550	126
813	551	125
814	551	125
815	552	124
816	552	123
817	553	123
818	553	122
819	554	121
820	554	120
821	555	120
822	555	119
823	556	118
824	556	118
825	557	117
826	557	116
827	558	115
828	558	115
829	559	114
830	559	113
831	560	113
832	561	112
833	562	111
834	562	111
835	563	110
836	563	109
837	564	109
838	564	108
839	565	107
840	565	106
841	566	106
842	567	105
843	567	104
844	568	104
845	568	103
846	569	102
847	569	102
848	570	101
849	570	100
850	571	100
851	571	99
852	572	98
853	572	97
854	573	97
855	573	96
856	574	95
857	574	95
858	575	94
859	575	93
860	576	93
861	576	92
862	577	91
863	577	90
864	578	90
865	578	89
866	579	88
867	579	88
868	580	87
869	580	86
870	581	86
871	581	85
872	582	84
873	582	84
874	583	83
875	583	82
876	584	81
877	584	81
878	585	80
879	585	79
880	586	79
881	586	78
882	587	77
883	587	77
884	588	76
